record_id,country_of_origin,destination_country,origin_iso3,destination_iso3,year_of_migration,application_date,arrival_date,age,gender,marital_status,field_of_study,subfield,degree_level,prior_education_country,institution_type,institution_name,scholarship_type,scholarship_amount_usd,tuition_usd,living_cost_usd_monthly,funding_source,part_time_work_allowed,hours_worked_per_week,visa_type,visa_status,visa_expiry_date,language_test,language_score,gpa_4_scale,admission_decision,enrollment_status,duration_months,housing_type,on_campus_housing,dependents_count,nationality_status,region_origin,region_destination,application_channel,agent_name,travel_route,flight_cost_usd,covid_vaccination_status,health_insurance_provider,bank_balance_at_enrollment_usd,remittance_sent_usd,part_time_job_sector,student_id_external,notes
2106,Kenya,hong kONG,KEN,HKG,2025,11-08-2024,10-09-2024,33,  fEMALE ,Married  ,arCHITeCTuRE,sTAtISTCiS,maSteR,gERMAny,Cmomunity,City Polytechnic,goverNmEnT," USD 12,023 ","46,465.00","$2,434.00",Loan,yes,15,Studnet🙂,Rejected,2026-08,toefl,90,2.14,Conditional Offer,Enrolled,35, Shared Apartment# ,N,1,sINGLE,aFrICA,aSiA,eMAIL, Nil ,keN-Hon,2212,Unknown,BUPa ,"$77,653"," USD 12,810 ",iT supPORT,S803479, lat esUbMIsSicOn  followup
,BanGlaDesh,United States,BGD??,USA,2024,05-May-23,03-Jan-24,21,Non-bInaRy,diVOrceD,Sociology ,Astrophysics,Bachelor, zimbABWe  , Technical  ,COastal BUSIneSs SChOOL, gOVErNMent  ,"€20,153","38,518 INR!",863,Famliy,T,3,EXchangE,APpROVed,13-04-2026,iEltS,6.9,3.19,raeJCEt,WIThdRAwN,37,HOmEsTAy,No,1,Stateless,aSIa,aMerIcAS,Online Portal ,,BAN-DOH-UNI,£545,Fully Vaccinated,Cigna,"$73,436.00"," USD 11,670 ",  fOOD sErvcIe%,S185848…,visa interview scheduled
2108,nepal,Austria,  NPL,AUT,2025,28-Jan-25,"Oct 12, 2025",17,MaLE,  DIVOrced ,ARChiteCTuRE,cIVIl,  Bachelor  ,tHAIlAnD, Research ,National University,nOnE  ,$0.00,"$28,213.00",USD 406,Family,0,13,Training,Expired,2028/06/01~,toefl,71,3.47,  Reject  , NO-shOw,27,Shared Apartment,na,1,SInGLE,AsIa,Europe,EMAIL,StudyWise,NEP-IST-SIN-AUS,"1,321 INR",Partially Vaccinated, bUPA ,10866,"14,520 INR",Tutoring!,s118786-2022 ,  fee waiver granted 
2109,Japan, xUnite dStates  ,JPN,USA,2017,11-01-2017,  16-Dec-2017  ,22,oTHER,maRRiEd,Engineering,ePidEMiolOGY,Phd,iRAn,Private*,State Research University,PRIvAte,"6,597 USD"," 25,442 INR ", 1055#,Loan,TRUE,19,Training$,RejEcTEd,07-21-2021,ptE~,67,2.92,Reject,wItHdraWN~,33,  OFf-caMPus ,F,2,SiNgLE,ASia,AMerIcas…,  ageNT,EduLInK cO.,jaP-UNI,"$1,896",PaRTIAlly VaCCinaTEd,Bupa,Nil," €2,363 ",Retail,  S442775_2021 , Docs verifeid.*
2110,SpaIN,South Korea,ESP  ,KOR,2025,17-Oct-24,2025-09,4,Non-binary,Widowed!,  Philosophy  ,Mechanical,masTer,Myanamrs,Research,Central Arts Academy,  Partial  ,"USD2,673.00"," 27,271 USD ","$1,627",  Sponsor??  ,N/A,19,ExcHanGe,Approved,"Jun 11, 2030",IELTS,6.9,3.53,Waitlist, No-Show,12,  SHAred apARTMeNt ,TRUE,2,Asylum Seeker,euRope~ ,asia,Online Portal,,SPA-SOU,"£1,988", FuLLy vcgaCINATed  ,AxA, 30987@,"$2,833.00",ReTail,  s745537 ,vIsA INtERVIeW SchEDUleD
2111,Spain,United Arab Emirates,EPS$,ARE ,2016,  2015/10/27 00:00  ,"Apr 01, 2016",18,MALE,  Single  ,biloOgY^,Civil,DIpLOMA,itaLy,TeCHNIcal,Central Arts Acadmey,  None$  ,USD 0,"38,063",693,SPonsoR,no,18,rEseARcH,UNDER rEview,Jan-18,pTe  ,44,2.72,reJECt,gRaduATeD,58,off-CAMpUs,Yes,1, Refugee ,Europe,  asIa ,Email,—,SPA-UNI, $770 ,fzullYv accINated,aEtNA,"£15,171","USD1,862.00",HEaLtHcaRe,s403791/2023,fee waiver granted
2112,eyGyTP,Poland  ,EGY,POL,2024,"Feb 14, 2023",17-03-2023,23,OtHer,Divorced,ENGiNEerINg,Graphic Design,  Bachelor ,Indonesia,reSeaRcH,CoASTaL bUSIness School,  University  ,"£2,923","23,412 INR","1,490.00",sCHoLARSHIP,T,25,Student??, APProveD ,"  Jun 05, 2024  ",  TOEFL  ,102,3.25,Conditional Offer,WItHdARWN,49,Homestay,,0,reFUGEE,aFRiCA,EUroPE,waLK-iN,,EGY-DXB-AMS-POL*,"1,583 USD",fULLy aVccINAteD#,BuPa,"USD 71,556","3,960 USD",heAlThCaRe,s179975-2023,bank statement ok
2113,Germany, QaTAR  ,DEu,QAT,2022,19-03-2022,12-10-2022,29,OtHer,MARRIeD~,eNgiNeErING ,enTwoRKS,MASteR#,aLgERIA,TEChnicAL,cENtRAL artS ACADeMy,Partial,"USD27,657.00","40,514.00",839.00*,faMily,0,0,Research,Approved,"Feb 06, 2026",IELTS??,6.8,2.7,Waitlist,wItHdrawN,7,  Homestay ,No,1,aSYLum sEEkEr ,Europe,asIA,aGNqEt,edulInK,GEr-FRA-QaT,"USD 1,330",  UnkNowN  ,Local Plan,"71,837 USD"," $11,955.00 ",Tutoring,s944564,medical xinsurance pendign🙂
2114,Mongolia,Germany,MNG🙂,DEU,2008,2008-01,10-08-2008,22,Other,WiDoweD,Public Health,cliMaTE ChAnGE,PhD,SoUtH AFRica,Community,Northern Medical School,PrIVATe,"15,356 INR","784,350 INR","USD2,170.00",  Loan ,T,10,Exchange??, Rejected ,01-01-2013,Duolingo,110,3.15,Waitlist^,No-Show,42,HomestaY  ,1,2,Dual,asiA,euROpE,Email,,mON-GeR," $1,554 ",Partially Vaccinated,Aetna,"7,791 USD","€11,137",Tutoring,  S532041 ,  neEdS tRanScrIpT eval 
2115,Thaialnd,France,THA,fRA,2010,  02/2010,13-12-2010,20,FeMaLe$ , Married ,MeDiCIne, Electrical,poStdOC,Afghanistan,commUNity,International Institute of Science,None,USD 0*," £15,693# ", $245?? ,Mixed,Yes,2,Research,apProvED,"Oct 03, 2011",IeLTs~,6.1,2.02,  Offer ,Enrolled,16,OFF-cAmPUS,1,2,aSYLuM seekEr, Asia  ,eUROPe,Email,null,THa-cdg-FrA,812,FULLy VacCinaTeD ,LOcaL pLAn,"20,128 USD!",,Lgoistics,s325478_2021 ,fee waiVeR GrAntEd
2116,Nepal,South Korea,nPl,KOR,—,2014-12 00:00,13-Jun-15,35,Male,SinGlE,EConomcqIS,macHinE LeArNinG,Postdoc*,uKrAINE,Private,State Research University,GOveRnEMnt#,"USD 16,826","40,258 USD",1987,Scholarship,T,7,sTUDeNt,Under Review,  2015-12-20,PTE,60,3.27,WaiTLIST,On leAve,53,Homestay,1,0,duAl,Asia,Asia,Online Portal,N/A,NEP-SIN-SOU,"1,595 USD",ParTiAlYL VaxCCinateD,  Cigna ,"£20,820","5,756 INR",logiSTIcs,S707757/2021^,docSV lERIfIeD.  
NA,Zimbawbe,United Arab Emirates,wzel,ARE,N/A,01-29-2009 00:00,01-11-2009,35,Mael,Divorced,BIolOGY,BiOiNfORMaTiCs, MAStEr  ,Mexico,Community,MetROPOLItan collEgE,Government  ,"£3,064*","31,350 USD"," £2,080~ ",Scholarship!,Yes,8, Training,aPpRoveD,  2010-09-29,IELTS,6.1,2.97,reJECt,EnroLLED%,51,Private Dorm,T,1,Asylum Seeker,  Africa ,aSiA,onLine pOrtAl,na,ZIM-HKG-LHR-UNI!,,  Partially Vaccinated  ,None,"28,896.00","£1,949",TuTORiNG,S641441_2021??,gapn year explaiend
2118,Ehtiopia,Australia,ETH,AUS,2008,10-03-2008,  29-Oct-2008 00:00  ,21, mAle  ,wIDOwed,enviroNmeNTAL scienEC,COGnItiVe pSycHOLogY,BaChElOr,Egypt@,cOmmUNITY,State Research University,noNe,0,"USD 54,954",€613,Loan,yes,10,Student,Approved,2010-03,IELTS ,7.8,3.37,Conditional Offer,Withdrawn,52,Homsedtay  ,F,1,Refugee, Afriac~, OCeAnIa ,  aGENt ,StudyWise,ETH-AUS%,"2,274",fUlly vACcinATEd,axa," 4,680 INR ","10,528 INR",HealtHCaRE,s300072_2021, dOcs VerIfiED. 
2119,IRaN  ,AuSTRIA,  IRN,AUT,2020,"May 28, 2019",15-11-2019,19,FemAle,  Divorced  ,Engineering,OrGanI CchEMisTry,PhD,China,CommuNITy,National University, None,$0,"$51,346","1,835",Self-funded#,FALSE,19,sTUDent, APProved%  ,2020-08-01^  ,  duOlIngO ,108,4,  WaITLIsT ,grAduaTED*,6,Homestay,null,2,Asylum Seeker,Asia,EuRoPE%,Walk-in,NA,  IRA-ICN-DXB-AUS  ,"2,080",Fully Vaccinated,Allianz,"$8,659.00",10284,LogISTIcs,S992249-2023@,needs transcript eval 
2120,Tunisia,France,TUN,FRA,2022, 2021-08-14,Nov-21,29,Male,widOwEd,MeidcINqe,Social Theory,Master,iTALy,pBujlic,International Institute of Science,NonE,0 INR,"£54,924",$506.00,faMIly,,3,Research,Approved,2025-12  ,  IELTS  ,4.7,2.43, OffEr ,wITHdrAWn,54,Private Dorm,NA,1,  Stateless  ,afRIcA,EuROpE,AgenT  ,StudiyWsie%,TUN-ICN-HKG-FRA,"$2,028.00",pARtIAlLy vACCInAtED,LoCaL PlAn,"47,629","6,564.00",fOOD sErViCe,s988607,IELTS re-take advised
2121,Iraq,Germany,IRQ,EDU%,2015,22-12-2014,  10/2015 ,26,  NoN-biNaRy,Married, Medicine ,oScial Theory,Bachelor,ARgENtinA,Research,Northern Medical School,nONE,0," USD 47,200 "," $1,698 ",LOAn,0,2,sTudent,  oN hOld  ,11-10-2018,toEfl??,72,3.31,oFFEr,ON-shOw,15,prIvATE doRm,1,0,Ayslwum Seeker,asia,EUROPE,  Agent,GoAbroad Inc.^, IRA-DOH-GER  ,"1,139 USD",  Fully Vaccinated ,Cigna,"56,587 USD","$9,847.00",nONe,S900922/2021,ViSA inTeRVIew sChEUdLED
2122,Myanmar, New Zealand ,  mMr,NZL,2025,"Mar 13, 2024", 2024-07-21??  ,18,MaLE,WIdOWeD…,  Public Health  ,Social Theory,MASTer,IraN,Technical,MEtRoPolitAN ColLEgE,PRIVaTE,"1,520.00","$44,432","£1,233",fAImlY,TRUE,4,REsEARCH,ApRPovED, 21/12/2025!,lOTefL,89,4,OFFER, GRADuated,6,On-campus  ,Yes,2, Single  ,Asia,OCEANia,Walk-in,na,MYA-NEW,"1,708",Partially Vaccinated,aetnA,"$29,019",,  Food Service ,s983071,fee waiver granted
2123, etHIoIPpA,sWITzErlAnd,  eTH  ,CHE,2019, 06-28-2019^ , 27/02/2020 ,26,Female,Widwoed,  soCioLoGy  ,Cognitive Psychology,aMster,itAly,cOmMUNITy,National University,  PaRtial,"£23,343","55,887.00","1,339.00",olAnb,T,11,Research,apprOveD,May-24,IElTS,6.2,2.96,Waitlist,Enrolled,32,On-campus,No,1,Dual,afrcyIA, Europe ,ONline PORtaL,N/A,  Eth-hkg-DXB-swi,1589,PARTIALlY vACCInaTEd,bUpA,"USD 8,579", USD 332 ,noNE*,s690309,Docs verified.
2124,Egypt, Netherlands  ,eEYG ,NLD,2008,23-09-2007,2008-05,31,Female,dIvORCed,Arts,SOcIal ThEoRY,PhD*,Barzil,Community,staTe ReSeARCh unIVeRSITY,  PRIVAtE ,1428,"38,262 USD","£1,939",MixeD,Yes,6,reseaCerH,ON HoLD🙂,09-07-2011,IELTS,7.8,3.54,Reject,GraDuAted,16,On-campus,FALSE,0,Single,Afrcia,eURope,agent,StudyWise,EGY-SIN-HKG-NET,563 USD,PARTIaLlY vaCcinATED,nONe  ,"€43,489","1,014 USD🙂", Food SErvICe  ,S414260,GaP YEAr eXPlaiEnD 
2125,Iran,  Qatar,iRN,QAT,2009,  26-Jun-2009,"  Aug 13, 2009 ",25,feMALE🙂, MArrIeD  ,Physics,fINAnCe,Masetr, LeBanON  ,  Technical ,Central Arts Academy,GoVErnMent@,"22,258 INR","53,899 USD"," USD1,979.00 ",sPOnsOR,Yes,5,tRAINIng,Approved,Dec-11,IELTS  ,7.8,2.77,WAitList!,GRAdUAtED,28,shAreD aPARtmENt,Y,1,Single,Asia,AsiA,wAlk-In,na,iRa-qAt??, USD 960 ,PArtIaLlY vacCInateD,Allianz,"19,662.00","3,452",IT Support,  s769741/2023 ,  mediCaL INSurAnce peNdinG 
2126,Uganda,  auSTraLIa,UGA,AUS ,2011,13-12-2010, 2011-04 00:00 ,24,Non-binary,  Married…,PHYsICs,Graphic Design,Bachelor, phiLIPPines ,  cOMMUNitY  ,glObAL TEcH uNiVErSITy,goVERnmeNT,,"$52,873","2,151",Family??,FALSE,16,EXchaNgE,APPaRovDe, 25-Jul-2015,IEltS,7.3,2.8,CoNdITiONal ofFER,On Leave,7,Pjrivate Domr,Yes,0,Stateless, AFriaC*,  Oceania  ,onlinE PORTal,N/A,UGA-AUS," £2,103 ",UNVacCINated??,Aetna,Nil,"8,467 INR", tuTORiNg ,s854210_2021,  late submission 
2127,Poland,Japan,POL,jPN,2014,  2014-02,10-1-12014,35,fEMale,siNGle  ,Engineering,Social Tehory  ,PhD,Nigeria,Private  ,NaTIOnAl UnIVerSITy,None,—,"$56,487.00","2,433 USD",Scholarship??,F,4,stUDenT,aPpROVeD,15-12-2017,IelTs!,6.5,3.37,CoNditIonal oFfeR,on LeaVe,36,PrivAtE dorM,0,2,REFUgee, Europe, aSia ,AGENt, ,POL-FRA-SIN-JAP,1111,fuLlY vaCCinAtED,  None ,"70,661 INR","$1,343.00",IT Supoprt,S556527,visa interview scheduled  
2128,India$,uNtIed STatEs, IND,USA,2008,Jun-08,12-10-2008,30,Female%,Married, MediCiNe  ,Civil,BAcHElor,peRU,  Private,International Institute of Science,Government,null,"18,989.00", $939 ,  Laon#  ,No,10,exChange…, AppROVed ,14-09-2010,PTE,61,3.34,ConDitIoNAL offEr,WithDRawN,28,hoMEStaY,yes,0,Single,sAia,Americas  ,oNlINe porTaL,,  IND-HKG-UNI ,,Partially Vaccinated,LOCAl Plan," $50,246 ","€7,210",logisTiCS,S478834,FEe wAivEr GRANTed🙂
2129,Venezuela,SiNgAPOre,  VEN  ,SgP,2014,  12-30-2013 ,Aug-14,20,mALE,Widowed,  Psychology  ,Civil ,Master,Mexico,ResERaCH,  Global Tech University~, NOfen  ,0 USD,"35,924 USD",569,LoAN,T,24,Student,Approved,01-10-2016,Duolingo,93,3.67,  Offer ,ENRoLLeD,39,On-cMaPUs,T,2,rEFuGEe,AMeRiCas,Asia,waLk-In,, VEN-FRA-SIN ,"USD1,775.00",Fully Vaccinated,Bupa," $48,205 ",N/A,None, S491891/2022  ,Late SubmisSIon@
RID-2130, Argentina , neThErlANds ,ARG,NLD~,2015,"Jun 02, 2014",13-08-2014,34,nOn-BiNArY,Singel,  Sociology,Genetics,PhD,viETnAm~,PRIvAte,Coastal Business School,nonE, USD0.00 ,"€32,410",USD 536,SCHoLarsHip,1,7,Exchange,Approved,,PTE,56,3.03,Conditional Offer,GraDUaeTaD,53,Private Dorm,No,1,Asylum Seeker,Ameriacs,EuROpe,agEnt,GlObALeDU , ARG-ICN-NET ,"2,052.00",Unvaccinated,AAX,"33,084 USD",677 USD,Logistics,S359570,late submission??
2131,SYRia,Portugal,SYR,PRT,2018,09-09-2017,2018-08,32, nOn-biNaRY^ ,widOwEd, Law,soCiaL TheoRY, Master ,Chile,tEcHNicaL,  NATIoNAl uNIvERsiTY ,gOVernMent," USD22,083.00 ",33489,$633.00,lOAn,Y,12,StUdEnt,pEndIng,08-08-2020,PTE,67,2.83, cOndITIonaL OffeR  ,No-Show,46,oFF-CAmpus,N,1,Asylum Seeker, Asia, Europe ,Agent  ,,SYR-AHU-NRyT-POR,"USD 1,671",  unVaCCInaTED??  ,AXA,"€28,698",USD128.00,None,S666396#^, needs transcript eval  
2132,SOuTh AfriCa,Australia??,ZAF,AUS,2020,"  Aug 22, 2019",null,32,FEmAEL…, SINglE ,Medicine%,orGAnIC cheMIsTRY,baCHElOR,PHilipPINES,Public,State Research University,  GOvErnmEnT  ," £3,548 ","USD 56,101","1,574 INR",lOaN,TRUE,20, TrAInINg  ,penhDNIG,10/13/2023,PTE,54,3.15,Conditional Offer,gRADUATEd,35,oN-cAmPus,yes,1, Refugee ,AFRIcA,Oceania,agEnt ,null,SOU-FRA-NRT-AUS%,"1,241.00",UNknown ,Allianz,"27,692.00",na,Retail ,s132554/2023,  bank statemetn ok 
2133,Taiwan,Canada,TWN,CAN~  ,2013, 06/2012 ,  2012/11/20 ,17, OthEr,marRiED,nURSiNg,  Cognitive Psychology*  ,Postdoc,orsUth Korea,COmmuNITy, State Research University ,NOnE  ,$0.00," 33,811 USD ","$1,949",Self-funedd,0,24,  Research  ,Pending,25-08-2015,  IelTS ,5.5,4,Offer,WitHdraWN,19, sHareD APartMENt  ,N,1,STAtelESS,ASia,  Americas,Walk-in,,TAI-DOH-CAN,$230,Partially Vaccinated, AXA  ,"61,464.00"," $9,633.00 ",Logistics,s320745,gap year explained
2134,Thailand, CZech REpubliC ,THA,CZE,2014,23-May-13,19-11-2013 00:00,22,Male,  dIVorCeD,comUpter sCience,Intermnationla Law,mASteR,TaiWaN,Community,Northern Medical School  ,None,USD 0,"41,880 INR",421,SponsoR$,No,16,Stmudetn,Approved,16-12-2017,ptE,53,3.67,Reject,  GradUATEd,35,on-camPuS,no,0,dUAl,AsiA,Europe,MfeAIl, EduLink Inc. $, THA-CZE  ,"£1,175$",  uNvacCiNiaTde! ,CiGNa,"$64,633!","6,078.00",  RETaIl  ,  S283428 , visa interview scheduled*  
2135,  iraq,Germany,IRQ,DeU,2020,20-Mar-02,09-15-2020  ,24, FemAlE ,Married,mathemaTICS,Statistics,Certificate,  cHIna ,  pUBLic , State Research University ,  NoNe, $0.00 ,"$55,356", USD 685 ,lOaN,T,0,Student,Rejected,02-04-2024,TOeFL,115,2.83,wAiTlIst,On Leave,49,Private Dorm,No,0,AsYLuM sEeKer…,AsIA ,eUROPE,wAlK-iN,,IRA-DXB-DOH-GER#,—, FUllY vaCcinATED,Bupa,"€19,657~",4655,ReTAil,S854410??,medical insurance pending
2136,Pakitsan,UnITed stATeS,PAK,USA,2020,10-09-2019,Oct-19,27,NON-BINArY,  mARrIed ,enViroNmEntal scIence,INTENRATdiOnAL lAW,Bachelor  ,iNDIA,priVAtE,Northern Medical School,  None,0@,"28,898 USD",611,seLf-FUnDED,,1,Exchagne,apPRoVED , 2022-07-26,  dUolINGo,133,2.43,Reject,DEfERReD ,60,  oFF-CAmPUs  ,N,0,Asylum Seeker,asiA,ameriCAs^,Walk-in,,PAK-UNI,1774,Unknown ,cignA  ,"$28,879.00","USD 13,131",Healthcare,s357381, medical insurance pending 
2137,souTH KOrea,gErMAny,KOR, DEU  ,2019,12-03-2018,08/23/2019,20,OThEr,MArRIEd,  medICInE ,Graphic Design,BACHELOr…, Algeria  ,Community, CITy polyTeChNIC  ,nonE  ,NA,9455,"2,030 USD",FAmilY,No,17,eXChaNgE,on Hold,26-04-2022,  IELTS  ,5.7,3.72,Conditional Offer,ON leAVE🙂  ,41,  Off-campus,No,1,statElESs,AsIa,Europe,emAiL,ScholarsHub,OSU-GER," USD 1,159 ",  UNNKOWn  ,Local pLNA," USD25,367.00 ","8,572 INR",HeaLTChArE,S176324/2023,gAp YEAr ExpLaiNeD 
2138,eGYpT,Poland,EGY, POL,2025,11-12-2024,2025-11*,35,otHER,WidOWED,Nursing,EpidEMioloGY,PhD,Mongolia, Public  ,City Polytechnic,noNe,$0.00,"45,631 INR","2,016 INR",iMxed,no,4, TRaIning  ,Approved,N/A,  Ielts  ,6.9,3.73,Waitlist  ,Withdrawn,28,ShArED AparTment,Yes,0,Stateless,AfRica,Eurpoe,aGent🙂,  BrightFuture Group,EGY-DXB-AUH-POL#,887,Unknown,  CignA,"74,813.00","$2,043",rEtAiL,S205156, agent assisted?? 
2139,  Zimbabwe  ,Malaysia,ZWE,mys,2008,2007-11,2008-04,27,Male,aMrrimed🙂,CoMPUteR SCiEnCe,Cijivl^,Master,Nepal,prIVaTE,nORThERn mEDicAl schooL, Partial~,"6,790.00","USD 39,001"," 1,521 INR ",Sponsor,no,5,Research,Approved, 2012-07-17,ToEFL,110,2.58,Offer, oN LevAe  ,12,Private Dorm,0,0,STATelEsS,aFRICA,asiA,Agent,,ZIM-MAL,£599,UNKnowN,rNoEN,"34,714 USD","$2,509.00",IT Support,s194829-2021~,DzoC sVeRifiEd.  
2140,Sri Lanka,Spain  ,LKA , ESP ,2018,"Feb 15, 2018", 2018/12/10 ,27,MALe,WidOwED ,  puBLIC HEAltH@  ,curRiculum STuDiES,PosTdOc,France,Community,GLoBAl tecH UNiVERSITy,NoNe,$0,"$58,068", ,sPOnSor,TRUE,12,Student,REjecTED,"Jan 23, 2020",TOEFL,95,3.37,Offer,NO-ShOW,17,OFf-caMPus,Yes,1,Daul,Asia…,Europe,emaIL, bRiGHtfuTuRE GROup,SRI-FRA-DXB-SPA,€855,Unvaccinated,lOcaL pLAN," €56,998 ","$11,134.00!", NoNE  ,S885702,meDical inSUrANce PeNdiNg
2141,Ethioipa,UNite DkIngdOsm,eth,GBR,2005,23-09-2004,15-09-2005,34,nOn-BinARY, Divorced,Physics,Civil,PhD,Mongolia$,tEchNicaL,Metropolitan College,Government,,"$22,200",£845,ScHOlarShip,Yes,1,exChnAGe,peNDIng,Aug-08,  Duolingo  ,100,2.7,  Reject  ,No-Show,21,pRIvaTe doRM,T,0,  AsyLum SEEKeR  ,aFRIca,eURopE,Walk-in  ,,EtH-HKG-UNI, ,Unvaccinated, nOnE  ,63559,"5,546 USD",FoOD Service,s335381,DOcS VeRIFiED.%
2142,Mexico,United Kingdom,MEX,GBR,2012,06/2011🙂,201-202,27,Male,Widowed,Data Science,IntERnATIOnal lAW  ,Bachelor,Jordan,PuBLIc,CoaSTal bUsiNess scHooL ,NNoE,0,"USD15,639.00", 965 USD ,Family,,10,Research,Approved,Oct-12,TOefL,103,3.21,waiTLisT^,Enrolled,50, sHareD AparTMenT  ,1,2,Single,AMERiCas,Europe,  WAlK-iN  ,na,MEX-AUH-NRT-UNI,1845,Partially Vaccinated, AETna ,"23,298 USD","12,297 INR",it SUpPOrT,  S434302  ,gap year explained
2143,Colombia,Belgium@,OfCL^,BEL*,2017,"  Jul 24, 2016  ",20-07-2017,21,mALe,Divorced,eduCAteOIn,Cognitive Psychology,CErtIfICatE,Ethiopia,Private,Central Arts Academy,NONe  ,USD 0,,—,Lona,0,6,Training,Rejected,Sep-21,PTe,72,3.09, CONdItIONaL OfFER ,Withdrawn,15,  Off-caMPuS,F,20,SINGlE,  Amercias ,eURope,Walk-in,,COL-BEL," USD 1,725 ",fuLly vAccInated,None,"USD 62,080","USD8,682.00",Logistics,  s169981%  ,  medical insurance pending
2144,EmXIcO,United States,MEX@,  USA  ,2009,,07-07-2009,34,  oTher , Married ,eDucAiToN,Machine Learning,mAsteR ,Venezuela,pUBlIc,National University,pRIVAte,"15,350",,"$1,006!",sCHOlArSHIP,no,3,EXCHanGe,UNDEr rEVIew,Dec-11,ielts,4.9,2.64,  cOnDItIOnAl OfFER,Deferred,10,SHARed aPARTMEnT,,2, sINgLE ,  AMEricAS,aMEriCaS,WLAk-IN,,  MEX-FRA-DXB-UNI ,873 INR,unVAccinateD!,AXA," USD 21,109 ","4,801 USD",HeALtHcARe,s634239,mEDIcal InsuranCe pEnDiNG 
2145,Algeria,NoRwAY,dza,NOR,2006,2005-11,2006-07,17,nON-BinarY  ,Widowed,bIOLOGY, Marketing! ,PhD, Ukraine,PrivATE~,Metropolitan College,  None  ,0.00@,"9,499 INR", ,sChOLaRshIP,Y,22,traIning,Approved,22-May-09,IelsT,6.1,3.22,  reJEcT* ,  Enrolled ,6,hOmEStAy,yes,0,asYlum SEekeR,Africa,euRoPe ,ONliNe PorTaL ,null,ALG-fNRT-ONR,"1,915 INR",unvAcCiNateD,Allianz,14816,"$2,186.00",Retail,s554265/202y1,nEeds tarnScrIpT eVal
2146,Egypt,New Zealand@,EGY,NZL,2014,—,"  Aug 08, 2014",23,Female,WIdOWeD,Medicine,Statistics,mastEr ,tURkEY,COMMUnitY  , glOBaL tecH uNiVERSiTy  ,nONe,USD 0,"USD 55,852","€1,256",  SpoNSoR,,10,Training,eXpIReD,"Nov 26, 2018…",TOEFL$,95,3.44,CONdItiOnaL OffER ,On Leave,10,Homestay,0,2,ASyLUm SEEKer,Africa,Oceania,  Email ,EduLink,EGY-IST-LHR-NWE,"1,704",UNVacCinAteD,Cigna!,"$46,759.00",,Healthcare,S96878_22u022,hIELTS RE-taKe DAVISed 
2147,pOlAnd,New Zealand,POL,  NZL ,2010,06-12-2009,Oct-10,35,FEmAlE,WiDoWeD,EducatIon,NEtwORks,bacHEloR,South Korea,Research…, State Research University  ,NONe,Nil,"USD34,721.00","€2,106",spONSoR,No,14,ExchANgE,rejECteD  , 01-07-2015^ ,duolinGO,99,3.95,wAiTLIsT??  ,WIthDRawN^,52, hOMESTAY ,Yes,1, SINglE, EuroPe🙂 ,OcEanIa,Email,cAMPUsWOrLd Pvt ltD,POL-AMS-HKG-NEW,"2,327.00",Fully Vaccinated,Axa," USD 19,772 ","9,285.00",Tutoring,S389369/2025%, AgeNT ASsIsted  
2148,Jordan, czeCh republiC,JOR, CEZ,2009,0h7-16-0208,,30,oThEr,Single,BusineSs,Graphic Design,Master@  ,Iraq,prIvATE,State Research University  ,University  ,"18,600 USD","$12,086.00"," 1,481 USD ",  Self-funded ,1,21,Exchagne, Approved  ,"Oct 16, 2011",  TOEFL~ ,90,2.91,Conditional Offer,EnROlLed??,60,Homestay,F,1,REFUGEE, asIA  ,EurOpE,Walk-in,,  jOr-CZe,"2,387.00~",Partially Vaccinated,nOnE," $15,887 ","2,483 INR",Fodo Service🙂,s366343!,FEe AWIVEr gRantEd
2149,utRkey ,Germany,TUR, DEU ,2011,08-10-2011,"Apr 02, 2012",17,MaLe!,Single,aRTs,CivIL,baChElOR,Germany,PRiVATE  ,National University, NOne  ,0 INR,"48,952.00",701 USD, Scholarship ,Y,3,Training,AppRoved,"Jul 05, 2013",toefL,79,3.41,oFfer,  WitHdrAwN,24,Private Dorm,,1,  sINgLe  ,Asia,Europe,agEnt,—,TuR-LhR-GEr,£691,Unvaccinated,Bupa,"7,999 USD","€13,169",Retail,s232723#  ,late submission
2150,Zimbabwe,Japan, ZWE,jpn,2015,16-04-2015,  2015-07-16  ,18,feMaLE,SIngle,Philosopyh,Finance,baCHeLoR,Turkey,tEChniCAl,City Polytechnic,GoVerNMenT," €18,015 ",,"2,234 USD",MIXED,Yes,21,Research  ,Approved!,null,TOefL ,68,3.88,rEJecT,Deferred,25,Shared Apartment  ,FALSE,1,  Refugee  ,AFrIca#,Asia,Email,EDuLInK,ZIM-JAP,£903,UnVAcciNaTeD,cIgnA,"65,949.00@", 9831#,ONNe,S405395,Dcos verified.
2151,Cameroon,Germany,cMr🙂  ,DEU🙂,2022,12-18-2021,Sep-22,34,otHER,  WIdoWeD,EducATiOn, Genteics,Certificate,hmGana,Private  ,Central Arts Academy,None,0,"USD 15,426",$771,faMIly$,Y,2,reSerACh,rejeCtdE, 2025-02,PET,60,3.42,Offer,ON lEAVe%,57,On-campus,,0,sTAtELesS,aFRIcA,  eURoPE$  , EmaIL  ,null,CAM-DOH-AMS-GER, USD 479 ,FulLy VACCInATEd@,  LocAL pLAn% ,"USD 8,719"," 13,586 INR ",LoGIstICs,s368396, visa interview scheduled^ 
